ID	Article	URL	Q1	Q2-1	Q2-2A	Q2-2B	Q4	Q5	Q6	Q7
1	[FactCheck] ｢3〜5歳児全ての幼児教育､保育を無償化｣は本当か？ー臨時国会所信表明の検証①	https://infact.press/2019/10/post-3413/	Inaccurate	3:No, probably	-	2:Inadequate understanding	3.Neither/No such intention	2.Partisan	1.33	4.Threat correct understanding of politics and social events
2	[FactCheck] ｢CNNが発砲した男の写真を加工し､白人に見せかけた｣との虚偽情報 日本でも拡散	https://infact.press/2020/06/post-6452/	Pants-on-Fire	3:No, probably	-	1.Trusting other sources	2.Denigration	3.Propaganda	4.00	6.Prejudice against national and racial
3	[FactCheck] ｢トランプ大統領の所得税が少なかった理由は多額の寄付｣との根拠不明情報が拡散	https://infact.press/2020/10/post-9190/	Unknown-Evidence	3:No, probably	-	1.Trusting other sources	1.Flattery	2.Partisan	2.00	3.Threat honor and trust in people, company and good
4	[FactCheck] ｢ペンシルベニア州 2万1000人の死者名で郵便投票があったと提訴｣はミスリード　訴えは根拠なしと却下	https://infact.press/2020/11/post-9692/	Misleading	3:No, probably	-	3.Misleading	2.Denigration	2.Partisan	2.33	3.Threat honor and trust in people, company and good
5	[FactCheck] ｢北海道の中国人技能実習生は1万人以上｣｢占冠村人口の3割以上が中国人｣は不正確	https://infact.press/2020/10/post-9378/	Inaccurate	4:No, definetely	-	2:Inadequate understanding	2.Denigration	3.Propaganda	2.33	6.Prejudice against national and racial
6	[FactCheck] ｢台湾の防空システムが中国戦闘機を撃墜｣は虚偽 台湾当局の全面否定を中国メディアも追認	https://infact.press/2020/09/post-8148/	Pants-on-Fire	3:No, probably	-	1.Trusting other sources	3.Neither/No such intention	3.Propaganda	2.67	6.Prejudice against national and racial
7	[FactCheck] ｢国交省､北海道に中国人500万人移住計画を発表｣は誤り 3年前の動画が再拡散	https://infact.press/2020/09/post-8110/	False	3:No, probably	-	1.Trusting other sources	2.Denigration	4.No purpose/Unknown	2.00	6.Prejudice against national and racial
8	[FactCheck] ｢大阪市分割でコスト218億円増｣報道は根拠不明 基準財政需要額は実際の行政コストと連動せず	https://infact.press/2020/10/post-9381/	Unknown-Evidence	4:No, definetely	-	2:Inadequate understanding	2.Denigration	4.No purpose/Unknown	3.67	4.Threat correct understanding of politics and social events
9	[FactCheck] ｢安倍総理マスク画像は合成｣は根拠不明　多数のメディアが同様の写真撮影	https://infact.press/2020/09/post-8039/	Unknown-Evidence	3:No, probably	-	2:Inadequate understanding	2.Denigration	2.Partisan	2.67	3.Threat honor and trust in people, company and good
10	[FactCheck] ｢日本が黒人の入国を厳しく制限｣ 中国で誤情報拡散	https://infact.press/2020/08/post-6979/	False	3:No, probably	-	3.Misleading	2.Denigration	3.Propaganda	1.67	6.Prejudice against national and racial
11	[FactCheck] ｢李登輝元総統の生前インタビュー NHKが5年封印｣ 台湾メディアの報道は誤り	https://infact.press/2020/08/post-7401/	False	4:No, definetely	-	2:Inadequate understanding	2.Denigration	4.No purpose/Unknown	1.00	3.Threat honor and trust in people, company and good
12	[FactCheck] ｢死亡事故を楽しむ日本人｣とCNNが報道？ 画像は合成だった	https://infact.press/2019/10/post-3210/	False	1:Yes, definitely	2.Manipulated image	-	2.Denigration	4.No purpose/Unknown	2.67	3.Threat honor and trust in people, company and good
13	[FactCheck] ｢毎秒100mの風 僕が飛ぶくらい｣はコラージュ画像　実際は｢車が飛ぶくらい｣	https://infact.press/2020/10/post-8361/	Pants-on-Fire	1:Yes, definitely	2.Manipulated image	-	3.Neither/No such intention	1.Satire/Parody	1.33	1.Harmless (e.g., Satire / Parody)
14	[FactCheck] ｢財政検証で年金の所得代替率が改善｣は本当か？ー臨時国会所信表明の検証②	https://infact.press/2019/10/post-3415/	Misleading	3:No, probably	-	3.Misleading	1.Flattery	2.Partisan	1.00	4.Threat correct understanding of politics and social events
15	[FactCheck] ｢防大卒業生が大学院に行きたくとも東大など各大学は断る｣は誤り 櫻井氏の発言が拡散	https://infact.press/2020/10/post-9066/	False	3:No, probably	-	1.Trusting other sources	2.Denigration	2.Partisan	2.00	3.Threat honor and trust in people, company and good
16	[FactCheck] ｢除草剤のせいで鹿が腫瘍だらけ｣は誤情報　米ファクトチェック団体が検証	https://infact.press/2020/08/post-7321/	False	3:No, probably	-	1.Trusting other sources	2.Denigration	4.No purpose/Unknown	3.00	3.Threat honor and trust in people, company and good
17	[FactCheck] 「NHKが『東日本大震災でLINEが役立った』とデマ」は誤り NHKは時系列を正しく説明	https://infact.press/2021/03/post-10734/	False	4:No, definetely	-	2:Inadequate understanding	2.Denigration	4.No purpose/Unknown	2.33	3.Threat honor and trust in people, company and good
18	[FactCheck] 「トルコ・ロックダウン開始前に田舎に逃げる国民」の画像は不正確 昨年の外出制限時のもの	https://infact.press/2021/05/post-11927/	Inaccurate	3:No, probably	-	1.Trusting other sources	3.Neither/No such intention	4.No purpose/Unknown	1.33	2:Confusion and anxiety about society
19	[FactCheck] 「ワクチンの中のナノテクノロジーロボット」動画は誤り 実際は不妊治療用	https://infact.press/2021/04/post-10879/	False	1:Yes, definitely	4.False context	-	2.Denigration	3.Propaganda	3.67	5.Health
20	緊急事態宣言後の国会「こんな時に野党が審議拒否」は誤り。「全くのフェイク」と批判も	https://www.buzzfeed.com/jp/kotahatachi/emergency-declaration-5	False	1:Yes, definitely	2.Manipulated image	-	2.Denigration	2.Partisan	4.33	3.Threat honor and trust in people, company and good
21	「日本と韓国の避難所格差」として紹介された画像は誤り、台風19号で拡散	https://www.buzzfeed.com/jp/kotahatachi/not-korea-its-kamaishi	False	3:No, probably	-	2:Inadequate understanding	1.Flattery	3.Propaganda	1.33	6.Prejudice against national and racial
22	新型コロナウイルス「中国人が日本の健康保険を“悪乗り”するために押し寄せる」は不正確。まとめサイトが拡散	https://www.buzzfeed.com/jp/saoriibuki/corona-virus-health-insurance	Inaccurate	3:No, probably	-	3.Misleading	2.Denigration	3.Propaganda	2.00	6.Prejudice against national and racial
23	安倍首相「平均的な共働き夫婦の奥さんの月収」画像は誤り　発言が改変、検索で大量ヒット	https://www.buzzfeed.com/jp/kensukeseya/fc-abe-pic	False	3:No, probably	-	1.Trusting other sources	2.Denigration	2.Partisan	3.33	3.Threat honor and trust in people, company and good
24	「プーチン大統領の娘、コロナワクチン接種で死亡」根拠不明の情報が世界に拡散	https://www.buzzfeed.com/jp/kotahatachi/putin-daughter	Pants-on-Fire	4:No, definetely	-	1.Trusting other sources	3.Neither/No such intention	4.No purpose/Unknown	3.00	5.Health
25	「川崎でヘイト禁止条例の成立後、拉致被害者のポスターが撤去」はミスリード。ネットで拡散	https://www.buzzfeed.com/jp/kotahatachi/kawasaki-debunk	Misleading	4:No, definetely	-	3.Misleading	2.Denigration	4.No purpose/Unknown	2.00	4.Threat correct understanding of politics and social events
26	実は増えていた　「アベノミクスで生活保護世帯は減少」菅長官発言は不正確	https://mainichi.jp/articles/20200911/k00/00m/010/333000c	Inaccurate	3:No, probably	-	2:Inadequate understanding	1.Flattery	2.Partisan	2.00	4.Threat correct understanding of politics and social events
27	「バイデン氏に1823年生まれの197歳が投票」は誤り。大統領選の「不正疑惑」として拡散したが…	https://www.buzzfeed.com/jp/kotahatachi/baidenni1823mareno197gaharidemoha	False	3:No, probably	-	1.Trusting other sources	2.Denigration	4.No purpose/Unknown	2.00	7.Conspiracy theory
28	千葉大研究発表文「十分なPCR検査の実施国では新型コロナの死亡率が低い」は根拠不明	https://wasegg.com/archives/2418	Unknown-Evidence	2:Yes, probably	1:Fabricated content	-	3.Neither/No such intention	4.No purpose/Unknown	1.67	2:Confusion and anxiety about society
29	「隣接市は住民投票なしで特別区に」はミスリード	https://www.sankei.com/article/20201022-6AJOZOLWHRKKHMGDXYKH2XDHQA/	Misleading	3:No, probably	-	2:Inadequate understanding	2.Denigration	2.Partisan	3.50	4.Threat correct understanding of politics and social events
30	[FactCheck]小泉環境相が「生態系の破壊が進んでいる。人類の数は半分でいい」と発言したとの情報は誤り　二つの主張に因果関係はなく、発言内容を改変	https://infact.press/2021/04/post-11234/	False	1:Yes, definitely	2:Manipulated text	-	2.Denigration	4.No purpose/Unknown	2.00	3.Threat honor and trust in people, company and good
31	[新型肺炎FactCheck] クルーズ船 ｢日本の検査で陰性だったのに米国で11人陽性反応｣は誤り	https://infact.press/2020/02/post-5018/	False	4:No, definetely	-	2:Inadequate understanding	2.Denigration	4.No purpose/Unknown	2.33	2:Confusion and anxiety about society
32	[新型肺炎FactCheck] 「遺体を燃やすと出る二酸化硫黄 武漢で大量検出」は誤り	https://infact.press/2020/02/post-4843/	False	3:No, probably	-	1.Trusting other sources	2.Denigration	4.No purpose/Unknown	3.00	6.Prejudice against national and racial
33	菅首相「ワクチン接種100万回超えてきた」はミスリード	https://mainichi.jp/articles/20210610/k00/00m/040/218000c	Misleading	3:No, probably	-	3.Misleading	1.Flattery	4.No purpose/Unknown	1.33	4.Threat correct understanding of politics and social events
34	[コロナの時代]ファクトチェック：福岡市に配分された4月分のワクチンの大多数が町内会長とか民生委員等に接種されているという情報は不正確。	https://infact.press/2021/05/__trashed-2/	Inaccurate	4:No, definetely	-	3.Misleading	2.Denigration	4.No purpose/Unknown	0.67	4.Threat correct understanding of politics and social events
35	新型コロナ「感染者上位の多くが中国人」「日本国籍が確認されてる感染者は20％以下」拡散している情報はミスリード	https://www.buzzfeed.com/jp/kotahatachi/20per-japan	Misleading	3:No, probably	-	1.Trusting other sources	2.Denigration	4.No purpose/Unknown	3.00	6.Prejudice against national and racial
36	[コロナの時代]ファクトチェック： 入院拒否に懲役刑についての菅首相答弁｢全国知事会が罰則を求めた｣はミスリード	https://infact.press/2021/01/post-10216/	Misleading	4:No, definetely	-	3.Misleading	3.Neither/No such intention	2.Partisan	1.67	4.Threat correct understanding of politics and social events
37	米大統領選「郵便投票で機械的に製造されたバイデン票が発見された」は誤り。アメリカで検証済みの情報が日本でも拡散	https://www.buzzfeed.com/jp/yutochiba/2020-election-factcheck	False	3:No, probably	-	1.Trusting other sources	2.Denigration	2.Partisan	1.67	3.Threat honor and trust in people, company and good
38	[新型肺炎FactCheck] ｢感染者 国内で400人超す｣報道はミスリード	https://infact.press/2020/02/post-4931/	Misleading	3:No, probably	-	3.Misleading	3.Neither/No such intention	4.No purpose/Unknown	1.00	2:Confusion and anxiety about society
39	「暴徒はトランプ支持者ではなくアンティファ」は「根拠不明」。英語圏SNSから日本でも拡散	https://www.buzzfeed.com/jp/harunayamazaki/theres-no-evidence-antifa-was-involved-in-the-attempted-1	Unknown-Evidence	3:No, probably	-	1.Trusting other sources	2.Denigration	2.Partisan	2.67	3.Threat honor and trust in people, company and good
40	「オーストラリアの山火事」と拡散された画像は誤り。画像は全て過去の森林火災	https://www.buzzfeed.com/jp/yutochiba/australia-bush-fire-factcheck	False	4:No, definetely	-	1.Trusting other sources	3.Neither/No such intention	4.No purpose/Unknown	1.67	2:Confusion and anxiety about society
41	朝日新聞が「サンゴを傷つけた罪は重い。万死に値する」と表記は誤り　ソースは5ちゃんか	https://www.buzzfeed.com/jp/kensukeseya/asahi-sango	False	3:No, probably	-	1.Trusting other sources	2.Denigration	4.No purpose/Unknown	2.67	3.Threat honor and trust in people, company and good
42	菅首相「松山選手は日本人初のメジャー制覇」ツイートは誤り	https://mainichi.jp/articles/20210413/k00/00m/050/096000c	False	3:No, probably	-	3.Misleading	3.Neither/No such intention	4.No purpose/Unknown	1.00	1.Harmless (e.g., Satire / Parody)
43	安倍首相、国会も出ずに昭恵夫人と日曜大工？ ネットで拡散の動画に注意	https://www.buzzfeed.com/jp/kensukeseya/abe-beaver-tonton	False	1:Yes, definitely	2.Manipulated image	-	2.Denigration	2.Partisan	2.33	3.Threat honor and trust in people, company and good
44	聖火リレー採火式は「男子禁制」で性差別？SNSで拡散するも不正確 “都市伝説”を検証	https://www.buzzfeed.com/jp/harunayamazaki/olympic-flame-lighting	False	3:No, probably	-	2:Inadequate understanding	2.Denigration	4.No purpose/Unknown	1.33	6.Prejudice against national and racial
45	[FactCheck]「トリチウムのゆるキャラが電通に3億700万円で発注されていた」は誤り キャラクターに投じたのは「数百万円」	https://infact.press/2021/04/post-11462/	False	3:No, probably	-	2:Inadequate understanding	2.Denigration	4.No purpose/Unknown	2.00	3.Threat honor and trust in people, company and good
46	[コロナの時代]ファクトチェック： ｢蓮舫議員が『高卒みたいな可哀想な人達が増える』と発言｣は誤情報	https://infact.press/2020/05/post-5867/	False	3:No, probably	-	1.Trusting other sources	2.Denigration	2.Partisan	4.00	3.Threat honor and trust in people, company and good
47	「韓国が小池知事に謝罪と賠償を要求」は誤り。関東大震災の朝鮮人虐殺めぐり、まとめサイトが拡散	https://www.buzzfeed.com/jp/kotahatachi/twisoku-fc	False	3:No, probably	-	2:Inadequate understanding	2.Denigration	4.No purpose/Unknown	3.33	6.Prejudice against national and racial
48	愛知県知事リコール運動　「署名受任者の住所氏名が公報で公開される」はミスリード	https://mainichi.jp/articles/20200924/k00/00m/040/346000c	Misleading	3:No, probably	-	3.Misleading	2.Denigration	4.No purpose/Unknown	0.67	4.Threat correct understanding of politics and social events
49	匿名ツイート「米上院が『コロナはうそ』と発表」は誤り	https://mainichi.jp/articles/20210614/k00/00m/040/233000c	False	4:No, definetely	-	1.Trusting other sources	2.Denigration	3.Propaganda	2.67	7.Conspiracy theory
50	オーストラリア火災「環境活動家が放火」「200人が逮捕」世界で拡散する情報に注意	https://www.buzzfeed.com/jp/kotahatachi/australia-1	Unknown-Evidence	3:No, probably	-	2:Inadequate understanding	2.Denigration	4.No purpose/Unknown	1.67	3.Threat honor and trust in people, company and good
51	[コロナの時代]ファクトチェック： ｢ノーベル賞受賞者の本庶教授が中国の人造ウイルス説に言及｣との虚偽情報がインドで拡散	https://infact.press/2020/04/post-5669/	Pants-on-Fire	1:Yes, definitely	2:Manipulated text	-	2.Denigration	3.Propaganda	2.00	3.Threat honor and trust in people, company and good
52	[FactCheck] 共同通信見出し「国連、処理水放出に『深い憂慮』」は不正確 意見は独立の特別報告者によるもの	https://infact.press/2021/04/post-11189/	Inaccurate	4:No, definetely	-	3.Misleading	2.Denigration	4.No purpose/Unknown	1.33	3.Threat honor and trust in people, company and good
53	中国国旗を掲げる人たちの動画を引用し「このような方達が入国可能に」　拡散した投稿はミスリード	https://www.buzzfeed.com/jp/kensukeseya/fc-china-flag	Misleading	3:No, probably	-	3.Misleading	2.Denigration	3.Propaganda	3.00	6.Prejudice against national and racial
54	｢最高裁が『外国人への生活保護は違法』と判断｣は誤情報　過去も繰り返し拡散	https://infact.press/2020/07/post-6735/	False	2:Yes, probably	4.False context	-	2.Denigration	3.Propaganda	2.67	6.Prejudice against national and racial
55	高市氏「日本国旗損壊罪がないのは、敗戦国だから」は誤り	https://mainichi.jp/articles/20210414/k00/00m/010/002000c	False	3:No, probably	-	2:Inadequate understanding	3.Neither/No such intention	4.No purpose/Unknown	1.00	4.Threat correct understanding of politics and social events
56	「約4600人の中国人観光客が博多に入港」1月29日のツイートはミスリード。拡散したのは以前の画像	https://www.buzzfeed.com/jp/yutochiba/coronavirus-3-factcheck	Misleading	4:No, definetely	-	3.Misleading	2.Denigration	4.No purpose/Unknown	1.33	6.Prejudice against national and racial
57	「NHKが災害取材で町のタクシー3台を貸し切り」は不正確、ネットで拡散	https://www.buzzfeed.com/jp/kotahatachi/nhk-taxi	Inaccurate	4:No, definetely	-	2:Inadequate understanding	2.Denigration	4.No purpose/Unknown	2.67	3.Threat honor and trust in people, company and good
58	[FactCheck] 菅首相発言｢英国からの入国者は1日1､2人｣は誤り 実際は1日平均150人	https://infact.press/2020/12/post-9994/	False	4:No, definetely	-	2:Inadequate understanding	3.Neither/No such intention	4.No purpose/Unknown	1.00	4.Threat correct understanding of politics and social events
59	「災害対策本部は特別区４カ所だけ」は根拠不明	https://www.sankei.com/article/20201028-3CWINVLD3FM6PBL6KN7OOLHNBI/	Unknown-Evidence	3:No, probably	-	2:Inadequate understanding	2.Denigration	4.No purpose/Unknown	2.00	4.Threat correct understanding of politics and social events
60	党首討論「哀れな枝野」と動画が拡散→誤り。菅首相の「東京五輪の思い出」が編集され全カット	https://www.buzzfeed.com/jp/kotahatachi/toshu-toron	False	1:Yes, definitely	2.Manipulated image	-	2.Denigration	2.Partisan	4.00	3.Threat honor and trust in people, company and good
61	「カキ殻に口をつけなければあたりにくい」はミスリード　ツイッターで拡散	https://mainichi.jp/articles/20201209/k00/00m/040/322000c	Misleading	4:No, definetely	-	3.Misleading	3.Neither/No such intention	4.No purpose/Unknown	2.67	5.Health
62	「CNNがトランプが勝ってしまうと放送」　日本語版ツイッターで拡散されている情報は「不正確」	https://mainichi.jp/articles/20201203/k00/00m/030/201000c	Inaccurate	3:No, probably	-	2:Inadequate understanding	3.Neither/No such intention	4.No purpose/Unknown	2.00	2:Confusion and anxiety about society
63	トランプ氏資産3分の1減「ほぼ無給で働いたから」は不正確	https://mainichi.jp/articles/20210415/k00/00m/030/364000c	Inaccurate	3:No, probably	-	2:Inadequate understanding	1.Flattery	4.No purpose/Unknown	0.67	3.Threat honor and trust in people, company and good
64	安倍首相、持病再発後も「焼肉食いまくってた」は誤り。「仮病」と画像が拡散したが…	https://www.buzzfeed.com/jp/kotahatachi/yakiniku	False	2:Yes, probably	1:Fabricated content	-	2.Denigration	2.Partisan	3.67	3.Threat honor and trust in people, company and good
65	鼻出しマスクの受験生「尾崎豊をスマホで流した」は根拠不明。拡散したのはコラ画像	https://www.buzzfeed.com/jp/kotahatachi/kono-shihai-kara-no	Unknown-Evidence	1:Yes, definitely	2.Manipulated image	-	3.Neither/No such intention	1.Satire/Parody	1.00	1.Harmless (e.g., Satire / Parody)
66	[新型コロナFactCheck] ｢日本の警察官73名が遺体取扱いで新型コロナに感染｣との台湾紙報道は誤り	https://infact.press/2020/05/post-5887/	False	4:No, definetely	-	2:Inadequate understanding	3.Neither/No such intention	4.No purpose/Unknown	2.00	2:Confusion and anxiety about society
67	[参院選FactCheck] 検証 消費税(1) “増収の一部しか社会保障に使わず､7年で4兆円削減”は事実か？	https://infact.press/2019/07/post-2388/	Misleading	3:No, probably	-	3.Misleading	2.Denigration	2.Partisan	2.00	4.Threat correct understanding of politics and social events
68	[参院選FactCheck] 検証 消費税(2) 増税分の84%は使途不明か？	https://infact.press/2019/07/post-2452/	Inaccurate	3:No, probably	-	3.Misleading	2.Denigration	2.Partisan	2.00	4.Threat correct understanding of politics and social events
69	「選挙システム『ムサシ』の筆頭株主が安倍首相」は誤り。籠池氏が発言し、ネットで拡散	https://www.buzzfeed.com/jp/kotahatachi/musashi	False	3:No, probably	-	1.Trusting other sources	2.Denigration	2.Partisan	3.00	7.Conspiracy theory
70	コロナワクチンが「不妊症」や「流産」の原因に？ 誤情報が世界で拡散。“ファイザー元副社長”が発端に	https://www.buzzfeed.com/jp/kotahatachi/vakzin-fc-2	Unknown-Evidence	3:No, probably	-	1.Trusting other sources	2.Denigration	3.Propaganda	5.00	5.Health
71	コロナワクチンが「不妊症」や「流産」の原因に？ 誤情報が世界で拡散。“ファイザー元副社長”が発端に	https://www.buzzfeed.com/jp/kotahatachi/vakzin-fc-2	Unknown-Evidence	3:No, probably	-	1.Trusting other sources	2.Denigration	3.Propaganda	4.33	5.Health
72	[FactCheck] ジョージア州選挙集計で不正の｢証拠映像｣? 外部から票の持込み確認できず	https://infact.press/2020/12/post-9900/	Misleading	4:No, definetely	-	3.Misleading	2.Denigration	2.Partisan	2.67	2:Confusion and anxiety about society
73	トランプ氏がバイデン氏に残した“手紙”が拡散？ 根拠不明の情報に注意	https://www.buzzfeed.com/jp/kotahatachi/joe-you-know	Unknown-Evidence	3:No, probably	-	1.Trusting other sources	3.Neither/No such intention	4.No purpose/Unknown	1.67	4.Threat correct understanding of politics and social events
74	民主党政権も「元首相の合同葬」や「国葬」を開いた？→誤り。実際は…	https://www.buzzfeed.com/jp/kotahatachi/godo-sogi-2	False	4:No, definetely	-	2:Inadequate understanding	2.Denigration	2.Partisan	1.67	4.Threat correct understanding of politics and social events
75	銀座線運休のお知らせ「日中韓の3ヶ国語表示で英語はない」は不正確。「日本がおかしくなっている」と拡散	https://www.buzzfeed.com/jp/yutochiba/ginza-metro	Inaccurate	4:No, definetely	-	1.Trusting other sources	2.Denigration	3.Propaganda	2.33	6.Prejudice against national and racial
76	「日本で絶対に報道されないトランプ支持者の集会」自民市議らが拡散の動画などは誤り、お詫びも	https://www.buzzfeed.com/jp/kotahatachi/desarenaitoranpunonoyahariraga	Unknown-Evidence	2:Yes, probably	4.False context	-	2.Denigration	2.Partisan	3.00	2:Confusion and anxiety about society
