ID	Article	URL	Q1	Q2-1	Q2-2A	Q2-2B	Q4	Q5	Q6	Q7
230	新型コロナウイルスは「飛沫感染するエイズウイルス」は誤り。専門家「多くの生物から同じような配列は見つかる」	https://www.buzzfeed.com/jp/yutochiba/coronavirus-medical-fact-check	False	3:No, probably	-	2:Inadequate understanding	3.Neither/No such intention	4.No purpose/Unknown	2.00	2:Confusion and anxiety about society
231	拡散した「政府が日の丸マスクを生産」との誤情報　メーカー“法的措置”検討も視野	https://www.buzzfeed.com/jp/kensukeseya/covid-mask-fc	False	4:No, definetely	-	1.Trusting other sources	2.Denigration	3.Propaganda	2.33	3.Threat honor and trust in people, company and good
232	[新型コロナFactCheck] ｢在日米国大使館『近いうちに日本は医療崩壊』と警告｣は不正確	https://infact.press/2020/04/post-5446/	Inaccurate	4:No, definetely	-	2:Inadequate understanding	2.Denigration	4.No purpose/Unknown	3.67	2:Confusion and anxiety about society
233	「安倍政権がホームレスを3分の1に減らした」は誤り。ネットで拡散、実際は…	https://www.buzzfeed.com/jp/kotahatachi/tsuisoku-debunk	False	3:No, probably	-	2:Inadequate understanding	1.Flattery	2.Partisan	1.67	4.Threat correct understanding of politics and social events
234	「新型コロナウイルスは人類史上最凶、致死率15％」は誤り。ネットで拡散、実際は…	https://www.buzzfeed.com/jp/kotahatachi/unknown-cause-china-2	False	3:No, probably	-	2:Inadequate understanding	2.Denigration	3.Propaganda	2.00	2:Confusion and anxiety about society
235	[コロナの時代]ファクトチェック： 大阪府の吉村知事｢保健所の削減は太田府政時代｣はミスリード	https://infact.press/2020/07/post-7173/	Misleading	3:No, probably	-	3.Misleading	2.Denigration	4.No purpose/Unknown	2.00	4.Threat correct understanding of politics and social events
236	[新型コロナFactCheck] ｢日本で売られているMade in Taiwan表記マスクは中国製の偽物｣は本当か？	https://infact.press/2020/04/post-5727/	Unknown-Evidence	4:No, definetely	-	2:Inadequate understanding	3.Neither/No such intention	4.No purpose/Unknown	1.33	3.Threat honor and trust in people, company and good
237	「韓国に日本が捨てた税金一覧」は誤り。借金を「返していない」「踏み倒し」とも言われるが…	https://www.buzzfeed.com/jp/kotahatachi/japan-en-korea	False	3:No, probably	-	2:Inadequate understanding	2.Denigration	4.No purpose/Unknown	3.33	6.Prejudice against national and racial
238	「ファイザー社、ワクチンが不妊を引き起こすと公式に認めた」は誤り。サイトの切り取りが拡散	https://www.buzzfeed.com/jp/kotahatachi/vakzin-fc-3	False	4:No, definetely	-	1.Trusting other sources	2.Denigration	3.Propaganda	3.33	5.Health
239	「トランプ氏が大統領令、バイデン逮捕も…」は誤り。ロシアが選挙に干渉？ ウクライナ疑惑めぐり	https://www.buzzfeed.com/jp/kotahatachi/eo13848	False	4:No, definetely	-	2:Inadequate understanding	1.Flattery	2.Partisan	1.67	2:Confusion and anxiety about society
240	日本学術会議、答申が出ていないため「活動が見えていない」はミスリード。2008年以降、321の提言と10の報告を提出	https://www.buzzfeed.com/jp/yutochiba/gakujutukaigi-fact-check	Misleading	3:No, probably	-	3.Misleading	2.Denigration	4.No purpose/Unknown	3.67	3.Threat honor and trust in people, company and good
241	[コロナの時代]ファクトチェック： 大阪の重症者増の理由は｢早めに気管切開し､人工呼吸器をつけている｣？ 吉村知事発言は根拠不明	https://infact.press/2020/09/post-8257/	Unknown-Evidence	4:No, definetely	-	2:Inadequate understanding	3.Neither/No such intention	4.No purpose/Unknown	3.00	5.Health
242	日本学術会議幹部が「北大総長室に押しかけ研究を辞退させた」は誤り。記事は訂正、しかし誤情報が拡散	https://www.buzzfeed.com/jp/yutochiba/gakujutukaigi-fact-check-3	False	4:No, definetely	-	1.Trusting other sources	2.Denigration	2.Partisan	2.67	3.Threat honor and trust in people, company and good
243	「新型コロナはお湯で予防」デマに注意。あやしい情報の“共通点”とは	https://www.buzzfeed.com/jp/kotahatachi/unknown-cause-china-15	False	3:No, probably	-	2:Inadequate understanding	3.Neither/No such intention	4.No purpose/Unknown	3.67	5.Health
244	菅首相発言「Go　Toトラベルでの感染者7人」はミスリード	https://mainichi.jp/articles/20200924/k00/00m/040/196000c	Misleading	3:No, probably	-	3.Misleading	1.Flattery	4.No purpose/Unknown	2.00	4.Threat correct understanding of politics and social events
245	[新型コロナFactCheck] ｢(6月中旬)東京都が桁違いに検査数を増やした｣は本当か？	https://infact.press/2020/07/post-6840/	False	4:No, definetely	-	2:Inadequate understanding	1.Flattery	3.Propaganda	2.33	4.Threat correct understanding of politics and social events
246	新型コロナで「戦々恐々とする中」玉城デニー知事が踊った、は誤り	https://www.buzzfeed.com/jp/kensukeseya/okinawa-korona-1	False	3:No, probably	-	2:Inadequate understanding	2.Denigration	2.Partisan	4.00	3.Threat honor and trust in people, company and good
247	[新型肺炎FactCheck] ｢武漢国立生物安全実験室から漏れたウイルスが原因と英紙報道｣は不正確	https://infact.press/2020/01/post-4684/	Inaccurate	4:No, definetely	-	2:Inadequate understanding	3.Neither/No such intention	4.No purpose/Unknown	2.00	7.Conspiracy theory
248	「安倍首相に布マスク販売を突っ込まれ、朝日新聞SHOPが閉鎖」は誤り。実際は…	https://www.buzzfeed.com/jp/kotahatachi/abe-mask-asahi-2	False	4:No, definetely	-	2:Inadequate understanding	2.Denigration	4.No purpose/Unknown	3.67	3.Threat honor and trust in people, company and good
249	[新型コロナFactCheck] 東京都の感染者増 ｢五輪延期決定で検査抑制の必要がなくなった｣は本当か?	https://infact.press/2020/04/post-5587/	Unknown-Evidence	3:No, probably	-	2:Inadequate understanding	2.Denigration	4.No purpose/Unknown	2.67	7.Conspiracy theory
250	「岸田内閣がレジ袋有料化の廃止を決定」は誤り。「超有能」と拡散、環境省は否定	https://www.buzzfeed.com/jp/kotahatachi/kishida-cabinet-fc	False	4:No, definetely	-	1.Trusting other sources	3.Neither/No such intention	4.No purpose/Unknown	2.67	4.Threat correct understanding of politics and social events
251	【FactCheck】ワクチンのファクト④「コロナワクチンは血管障害を引き起こす」との言説が拡散　現時点で真偽の判定は不可能	https://infact.press/2021/10/post-12247/	Suspended-Judgment	-	-	-	-	-	-	-
252	沖縄最大クラスター「感染者９割がワクチン２回接種」は不正確　事実は…〈#ファクトチェック〉	https://ryukyushimpo.jp/news/entry-1400245.html	Inaccurate	2:Yes, probably	1:Fabricated content	-	2.Denigration	3.Propaganda	2.67	2:Confusion and anxiety about society
253	岸田氏「使用済み核燃料、再処理すれば期間300年」はミスリード	https://www.asahi.com/articles/ASP9Z4GFHP9WULBJ00N.html	Misleading	3:No, probably	-	2:Inadequate understanding	3.Neither/No such intention	4.No purpose/Unknown	1.33	3.Threat honor and trust in people, company and good
254	［Factcheck］「フランス政府　9月からは保護者の同意なしに子どもたちにワクチンを接種する予定　親が同意しない場合は、3万ユーロの罰金と2年間の懲役」は誤り	https://infact.press/2021/09/post-13436/	False	4:No, definetely	-	1.Trusting other sources	2.Denigration	4.No purpose/Unknown	2.00	2:Confusion and anxiety about society
255	新型コロナ「ワクチンが変異ウイルスを生み出した」は誤り。ノーベル賞科学者の発言が拡散	https://www.buzzfeed.com/jp/kotahatachi/vakzin-fc-8	False	3:No, probably	-	1.Trusting other sources	3.Neither/No such intention	3.Propaganda	3.33	5.Health
256	「医師会が接種後の死亡を報告しないと決めた」ツイートは誤り	https://mainichi.jp/articles/20210902/k00/00m/040/038000c	False	3:No, probably	-	2:Inadequate understanding	2.Denigration	4.No purpose/Unknown	3.00	3.Threat honor and trust in people, company and good
257	[Factcheck] 「水でPCR検査『陽性』」動画は誤り 　実際は「無効」を示した迅速(抗原)検査結果の動画	https://infact.press/2021/08/post-13164/	False	3:No, probably	-	1.Trusting other sources	3.Neither/No such intention	3.Propaganda	3.33	3.Threat honor and trust in people, company and good
258	タリバン首都制圧で記者の服装一変は「ミスリード」	https://mainichi.jp/articles/20210820/k00/00m/030/155000c	Misleading	4:No, definetely	-	3.Misleading	3.Neither/No such intention	4.No purpose/Unknown	1.00	6.Prejudice against national and racial
259	[Factcheck] 「バッテリー交換コストが高すぎて捨てられたパリの電気自動車」は不正確 中国でカーシェア事業者が置いたもの	https://infact.press/2021/08/post-12907/	Inaccurate	4:No, definetely	-	1.Trusting other sources	3.Neither/No such intention	4.No purpose/Unknown	2.00	3.Threat honor and trust in people, company and good
260	[Factcheck] 「米CDC、PCR検査は精度が低いので中止」は誤り 新指針の曲解が拡散	https://infact.press/2021/08/post-13117/	False	4:No, definetely	-	1.Trusting other sources	2.Denigration	3.Propaganda	2.67	5.Health
261	「オリンピック選手村に配布されるコンドームは税金によるもの 」は誤り。ネットで拡散	http://wasegg.com/archives/3917	False	3:No, probably	-	2:Inadequate understanding	2.Denigration	4.No purpose/Unknown	2.67	4.Threat correct understanding of politics and social events
262	[Factcheck] 小泉環境相「景気が良くなれば不景気から抜け出せます」は実在しない架空の発言	https://infact.press/2021/07/post-12831/	Pants-on-Fire	1:Yes, definitely	1:Fabricated content	-	2.Denigration	1.Satire/Parody	1.67	3.Threat honor and trust in people, company and good
263	「（外国人が）家族旅行が目的で来日した」は誤り。 「事実上14日間の隔離はない」は正確。ネット上で拡散	https://wasegg.com/archives/3930	Inaccurate	4:No, definetely	-	1.Trusting other sources	2.Denigration	4.No purpose/Unknown	2.00	2:Confusion and anxiety about society
264	竹中平蔵氏「医学部、獣医学部を持った大学はない」発言は誤り	https://mainichi.jp/articles/20210717/k00/00m/010/083000c	False	3:No, probably	-	2:Inadequate understanding	3.Neither/No such intention	4.No purpose/Unknown	1.33	3.Threat honor and trust in people, company and good
265	[FactCheck]「スウェーデン首相がコロナ禍初期に感染拡大を止められなかった責任を取って辞任」は根拠不明	https://infact.press/2021/07/post-12803/	Unknown-Evidence	3:No, probably	-	2:Inadequate understanding	3.Neither/No such intention	4.No purpose/Unknown	2.00	4.Threat correct understanding of politics and social events
266	[FactCheck] 旭日旗が施された「政府専用機　ニューデザイン！」の画像は誤り　デザイン変更の予定なし	https://infact.press/2021/07/post-12945/	Pants-on-Fire	1:Yes, definitely	1:Fabricated content	-	3.Neither/No such intention	4.No purpose/Unknown	2.00	2:Confusion and anxiety about society
267	「永久不妊の可能性」「接種者の息や汗から…」立憲の候補者がワクチンめぐる誤情報拡散→削除	https://www.buzzfeed.com/jp/yutochiba/rikken-kitajyo-covid-19-vaccine	False	3:No, probably	-	2:Inadequate understanding	3.Neither/No such intention	3.Propaganda	4.00	5.Health
268	[Fact Check] 「日本の水道水を浴びたコロナ、一瞬で死滅」は根拠不明	https://infact.press/2021/07/post-12892/	Unknown-Evidence	3:No, probably	-	2:Inadequate understanding	3.Neither/No such intention	4.No purpose/Unknown	2.67	5.Health
269	「感染予防効果を期待できるものではない」泉大津市が接種券に誤情報を同封。市長は“マグネシウム鼻うがい”を推奨	https://www.buzzfeed.com/jp/yutochiba/izumiotsu-covid-19-vaccine	False	4:No, definetely	-	2:Inadequate understanding	3.Neither/No such intention	3.Propaganda	3.00	5.Health
270	菅首相「ワクチン接種、先進国の中で最速」はミスリード。会見で強調、実際は…	https://www.buzzfeed.com/jp/kotahatachi/vakzin-fc-6	Misleading	3:No, probably	-	3.Misleading	1.Flattery	4.No purpose/Unknown	0.67	3.Threat honor and trust in people, company and good
271	[FactCheck] 蓮舫議員（立憲民主党）の「インドからの入国制限をしたのは4/28になって。しかも３日だけの待機で、…」は不正確	https://infact.press/2021/07/post-12858/	Inaccurate	4:No, definetely	-	2:Inadequate understanding	2.Denigration	4.No purpose/Unknown	2.00	4.Threat correct understanding of politics and social events
272	ローマ教皇「天国に行くためにワクチンが必要」は誤り。「真実を言っている」と拡散、発端は	https://www.buzzfeed.com/jp/kotahatachi/vakzin-fc-5	False	1:Yes, definitely	2:Manipulated text	-	3.Neither/No such intention	4.No purpose/Unknown	2.00	2:Confusion and anxiety about society
273	「ワクチンの中身はマイクロチップや劇薬」「接種で遺伝子組み換え」広がる誤情報を検証しました	https://www.buzzfeed.com/jp/yutochiba/covid-19-vaccine-factcheck-cov-navi-2	False	2:Yes, probably	1:Fabricated content	-	2.Denigration	3.Propaganda	2.67	5.Health
274	「ワクチン接種者が周囲に病気を撒き散らす」「接種で麻痺が起きる」拡散する誤情報。専門家の見解は…	https://www.buzzfeed.com/jp/yutochiba/covid-19-vaccine-factcheck-cov-navi	False	2:Yes, probably	2:Manipulated text	-	2.Denigration	3.Propaganda	3.00	5.Health
275	安倍氏ツイート「赤木さん証言、握り潰されている」は根拠不明	https://mainichi.jp/articles/20210628/k00/00m/040/210000c	Unknown-Evidence	4:No, definetely	-	3.Misleading	2.Denigration	4.No purpose/Unknown	2.00	3.Threat honor and trust in people, company and good
276	「ワクチンが卵巣に蓄積、不妊の原因に」は誤り。「一生妊娠できなくなる」とYouTube動画も拡散、若い女性に影響か	https://www.buzzfeed.com/jp/kotahatachi/vakzin-fc-4	False	3:No, probably	-	1.Trusting other sources	2.Denigration	3.Propaganda	3.33	5.Health
277	[FactCheck]「マクドナルド、バドワイザーが五輪のスポンサーを降りた。多くのスポンサー企業が東京五輪に冷めている」はミスリード	https://infact.press/2021/06/post-12741/	Misleading	4:No, definetely	-	2:Inadequate understanding	3.Neither/No such intention	4.No purpose/Unknown	1.67	3.Threat honor and trust in people, company and good
278	「欧州でガソリン発電EV充電器が流行」などの画像が拡散 相次ぐ類似の誤情報	https://infact.press/2021/10/post-13703/	Inaccurate	4:No, definetely	-	2:Inadequate understanding	3.Neither/No such intention	4.No purpose/Unknown	1.33	3.Threat honor and trust in people, company and good
279	SNSで拡散「選挙機材大手『ムサシ』大株主は安倍元首相」は誤り	https://mainichi.jp/articles/20211014/k00/00m/010/094000c	False	3:No, probably	-	1.Trusting other sources	2.Denigration	2.Partisan	3.33	3.Threat honor and trust in people, company and good
280	【ファクトチェック】山口公明党代表の発言　共産党「天皇制は憲法違反 廃止すべき」は誤り	http://wasegg.com/archives/4245	False	4:No, definetely	-	2:Inadequate understanding	2.Denigration	2.Partisan	2.67	3.Threat honor and trust in people, company and good
281	【ファクトチェック】「東京新聞が『違和感あり 岸田氏 生まれも育ちもほぼ東京なのに核兵器ない世界目指す』と報道した」とするツイートはミスリード。紙面の一部を切り取り投稿	http://wasegg.com/archives/4269	Misleading	3:No, probably	-	3.Misleading	2.Denigration	4.No purpose/Unknown	1.67	3.Threat honor and trust in people, company and good
282	「遺伝子を破壊した野菜や魚『ゲノム編集食品』は安全審査なし、発がん物質の発見も」⇒「フェイクニュース（レベル４）」～SFSSが週刊女性記事（2021年10月19日号）をファクトチェック！～	http://www.nposfss.com/cat3/fact/w_josei_20211019.html	False	3:No, probably	-	2:Inadequate understanding	2.Denigration	3.Propaganda	3.00	5.Health
283	SNSで拡散「外国人に選挙運動はできない」は誤り	https://mainichi.jp/articles/20211020/k00/00m/010/379000c	False	4:No, definetely	-	2:Inadequate understanding	2.Denigration	3.Propaganda	3.00	6.Prejudice against national and racial
284	【ファクトチェック】れいわ山本代表「れいわ新選組が野党統一候補として出られる所は1ヶ所もない」は根拠不明。参議院議員会館内で開かれた集会で発言	https://wasegg.com/archives/4281	Unknown-Evidence	3:No, probably	-	2:Inadequate understanding	2.Denigration	4.No purpose/Unknown	1.33	3.Threat honor and trust in people, company and good
285	【総選挙FactCheck】スマホ・3Dプリンタ・量子コンピュータは日本の発明？甘利幹事長の発言は『不正確』	https://infact.press/2021/10/post-14149/	Inaccurate	3:No, probably	-	2:Inadequate understanding	1.Flattery	4.No purpose/Unknown	2.33	3.Threat honor and trust in people, company and good
286	【総選挙FactCheck】岸田首相は「広島出身」と言えるのか？　	https://infact.press/2021/10/post-14166/	Misleading	3:No, probably	-	3.Misleading	3.Neither/No such intention	4.No purpose/Unknown	1.00	3.Threat honor and trust in people, company and good
287	【総選挙FactCheck】岸田首相が誇った日米地位協定をめぐる成果についてファクトチェックした	https://infact.press/2021/10/post-14214/	Half-True	-	-	-	-	-	-	-
288	【ファクトチェック】NHK党立花孝志党首の発言「民主党政権交代時、子ども手当1円ももらえなかった」は“誤り”	https://japan-indepth.jp/?p=62561	False	3:No, probably	-	2:Inadequate understanding	2.Denigration	4.No purpose/Unknown	2.33	4.Threat correct understanding of politics and social events
289	【ファクトチェック】共産党志位和夫委員長の発言「派遣・パート・アルバイト・非正規の働き方をさせられている方が若者では半分」は“ミスリード”	https://japan-indepth.jp/?p=62577	Misleading	3:No, probably	-	3.Misleading	3.Neither/No such intention	4.No purpose/Unknown	1.67	2:Confusion and anxiety about society
290	【ファクトチェック】自民党岸田文雄総裁「現在法人税最高税率は23.2%、財源としては10.8兆円ほどあります」は“ほぼ正確”	https://japan-indepth.jp/?p=62589	Half-True	-	-	-	-	-	-	-
291	【ファクトチェック】「Dappiがアップした参院予算委資料を一般人は入手不能」は誤り。2020年1月のツイートがDappi問題で注目集める	https://wasegg.com/archives/4297	False	4:No, definetely	-	2:Inadequate understanding	3.Neither/No such intention	2.Partisan	2.00	3.Threat honor and trust in people, company and good
292	【ファクトチェック】毎日新聞ツイート「Z世代の8割が投票したいと思っているとのデータがある」は“不正確”	https://japan-indepth.jp/?p=62612	Inaccurate	4:No, definetely	-	3.Misleading	3.Neither/No such intention	3.Propaganda	2.67	2:Confusion and anxiety about society
293	衆院選候補の性別「公報に記載しないと男女比が不明に」は誤り	https://mainichi.jp/articles/20211025/k00/00m/010/275000c	False	4:No, definetely	-	2:Inadequate understanding	3.Neither/No such intention	4.No purpose/Unknown	1.67	4.Threat correct understanding of politics and social events
294	【ファクトチェック】日本維新の会・馬場幹事長「私立高校も大阪では完全無償」は誤り。NHKの討論番組で発言	http://wasegg.com/archives/4352	False	3:No, probably	-	3.Misleading	1.Flattery	4.No purpose/Unknown	2.67	3.Threat honor and trust in people, company and good
295	麻生太郎氏「北海道のお米は温暖化でおいしくなった」発言は誤り。農家の力を否定、実際の影響は？	https://www.buzzfeed.com/jp/kotahatachi/yume-pirika	False	4:No, definetely	-	2:Inadequate understanding	3.Neither/No such intention	4.No purpose/Unknown	2.00	3.Threat honor and trust in people, company and good
296	【ファクトチェック】立憲民主党菅直人氏の発言「民主党政権の時代に、高校無償化まで実現しました。現在も無償化になってます」は“不正確”	https://japan-indepth.jp/?p=62632	Inaccurate	3:No, probably	-	3.Misleading	1.Flattery	2.Partisan	2.33	4.Threat correct understanding of politics and social events
297	【総選挙FactCheck】共産党の綱領には天皇制について「おかしい」とは書かれていないのかファクトチェックした	https://infact.press/2021/10/post-14301/	Misleading	3:No, probably	-	3.Misleading	3.Neither/No such intention	4.No purpose/Unknown	2.00	3.Threat honor and trust in people, company and good
298	【総選挙FactCheck】法人税は安倍政権下で23％に引き下げられた？枝野代表の発言は「ミスリード」	https://infact.press/2021/10/post-14402/	Misleading	3:No, probably	-	3.Misleading	2.Denigration	4.No purpose/Unknown	2.00	4.Threat correct understanding of politics and social events
299	衆院選沖縄1区の候補者が既に「当選」は偽情報　衆院選ファクトチェック	https://ryukyushimpo.jp/news/entry-1415288.html	Pants-on-Fire	1:Yes, definitely	1:Fabricated content	-	1.Flattery	4.No purpose/Unknown	3.00	3.Threat honor and trust in people, company and good
300	衆院選沖縄1区「当選可能性ゼロ」「ムダ票」は誤情報　衆院選ファクトチェック	https://ryukyushimpo.jp/news/entry-1415418.html	False	3:No, probably	-	3.Misleading	3.Neither/No such intention	4.No purpose/Unknown	2.67	4.Threat correct understanding of politics and social events
301	自民党麻生太郎氏の発言「年金増えたのは、運用を株でやったおかげでしょうが」は“ほぼ正確”【Japan In-depth】	https://japan-indepth.jp/?p=62679	Half-True	-	-	-	-	-	-	-
302	【ファクトチェック】財政調整基金　大阪府・市で3000億円「積み上げてきた」はミスリード。2021年度は半減の見込み。日本維新の会の松井代表がテレビ番組で発言	https://wasegg.com/archives/4368	Misleading	3:No, probably	-	3.Misleading	1.Flattery	3.Propaganda	2.50	4.Threat correct understanding of politics and social events
303	【ファクトチェック】れいわ新選組は「最大3ヵ月のステイホーム期間中は消費税ゼロ」を掲げているとの放送は不正確。日本テレビ系列『ウェークアップ』	https://wasegg.com/archives/4375	Inaccurate	4:No, definetely	-	2:Inadequate understanding	3.Neither/No such intention	4.No purpose/Unknown	3.50	4.Threat correct understanding of politics and social events
304	【ファクトチェック】「自公維が勝つと消費税19％」は根拠不明。ネットで拡散	https://wasegg.com/archives/4402	Unknown-Evidence	2:Yes, probably	2:Manipulated text	-	2.Denigration	2.Partisan	3.67	3.Threat honor and trust in people, company and good
305	普天間移設「県・市の決断で辺野古移設決定」はミスリード　衆院選ファクトチェック	https://ryukyushimpo.jp/news/entry-1415420.html	Misleading	3:No, probably	-	3.Misleading	2.Denigration	4.No purpose/Unknown	2.00	4.Threat correct understanding of politics and social events
306	【ファクトチェック】社民党福島みずほ党首の発言「（アベノマスクに）500億円ほど税金を使っている」は“正確”	https://japan-indepth.jp/?p=62738	True	-	-	-	-	-	-	-
307	京王線襲撃　SNSで話題の「国領停車ファインプレー」説は不正確	https://mainichi.jp/articles/20211104/k00/00m/040/104000c	Inaccurate	4:No, definetely	-	2:Inadequate understanding	1.Flattery	4.No purpose/Unknown	2.00	3.Threat honor and trust in people, company and good
